especificacion,brecha_pct,ic_lo,ic_hi,n,r2
Mensual + control horas | ocupación 1 dígito,-20.862827722506495,-21.674655091873397,-20.042585916172527,174924,0.4875052140654269
Mensual + control horas | ocupación 4 dígitos,-15.307238943420465,-16.223127046619112,-14.381337921524695,174924,0.5368748814227804
Salario/hora | ocupación 1 dígito,-15.828342113370187,-16.63469118778528,-15.014193645669405,174924,0.35674502280125664
Salario/hora | ocupación 4 dígitos,-11.149558467103803,-12.109754881936908,-10.17887195574384,174924,0.4009508666157966
Edad prima 25-59 | ocupación 4 dígitos,-14.851064725175188,-15.904662959288885,-13.784266362754849,135471,0.5300237779278159
Ingreso recortado p1-p99 | ocupación 4 dígitos,-13.002870231397212,-13.906561362067016,-12.089693387616496,171481,0.5310303955949012
Asalariados formales (cotizan) | ocupación 4 dígitos,-12.028735941938873,-12.916581642993297,-11.13183834554372,110098,0.5494427198046357
Asalariados contrato firmado | ocupación 4 dígitos,-11.898027277723122,-12.773908031969638,-11.013351367367353,110721,0.5486056733251079
Asalariados informales (no cotizan) | ocupación 4 dígitos,-10.75720065107012,-13.60578558752098,-7.814692340289664,19913,0.42553076824706704
Independientes | ocupación 4 dígitos,-25.513813553455744,-27.81474212689049,-23.13954213335063,44697,0.4455644569753968
Asal. sector público | ocupación 4 dígitos,-9.781504826564513,-11.406284507782427,-8.126927218960612,27222,0.6073658000234783
Asal. sector privado | ocupación 4 dígitos,-12.707867487880698,-13.707424347279462,-11.69673241439324,98163,0.5267208017407661
Formalidad como control | ocupación 4 dígitos,-15.227758482050625,-16.145111327363516,-14.30037001143164,174924,0.5618513263633124
Especificación máxima (todos los controles) | ocupación 4 dígitos,-15.578732501983229,-16.509544456724456,-14.637543182674372,174719,0.5649182082471551
Máxima + región y zona urbano/rural | ocupación 4 dígitos,-15.739302967498858,-16.66026606982226,-14.80816257043448,174719,0.5705230028464963
Máxima + geografía + tipo institución ed. sup. | ocupación 4 dígitos,-15.635529144963511,-16.533121919280923,-14.728283765840056,174719,0.5759336964544319
"Solo universitarios, con tipo de institución | ocupación 4 dígitos",-10.58201188919946,-12.253819875081229,-8.878351326514034,46532,0.5455675398878106
